position,company,location,link,days_posted,date_posted,applied,date_applied,strikes,rank
Data Analyst-HEDIS & Star,SCAN,"Long Beach, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2907&ao=173064&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7bb0155f&cb=1528291508325&jobListingId=2794775105,0.0,06-11-2018,No,,1.0,8.0
Data Science Application Developer,SMU (Southern Methodist University),"Dallas, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=422&ao=356731&s=58&guid=00000163d51ea64eaf91290da6efac55&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_292cc470&cb=1528289030041&jobListingId=2801993841,0.0,06-11-2018,No,,1.0,8.0
Data Analyst II,Milestone Technologies Inc.,"Menlo Park, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2906&ao=283198&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_848f0cdb&cb=1528291505665&jobListingId=2775761010,0.0,06-11-2018,No,,1.0,8.0
Salesforce Platform Analyst - Data Analysis,Mason Frank,"Irvine, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2905&ao=173064&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7a927396&cb=1528291503520&jobListingId=2783788541,0.0,06-11-2018,No,,1.0,8.0
"Marketing & Data Analyst, User Acquisition",,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2903&ao=4128&s=58&guid=00000163d5454fd993f4a5c917a0d365&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b7bf92b0&cb=1528291497888&jobListingId=2635192871,0.0,06-11-2018,No,,1.0,8.0
Data Marketing Analyst,Clontech,"Mountain View, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2830&ao=3949&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cf003807&cb=1528291477009&jobListingId=2792970857,0.0,06-11-2018,No,,1.0,8.0
"Operations Data Analyst (SQL, Excel, large data sets)",Sayva Solutions,"San Diego, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2828&ao=85058&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_90b50ecb&cb=1528291472071&jobListingId=2801362497,0.0,06-11-2018,No,,1.0,8.0
Salesforce Data Quality Analyst,Coherent,"Santa Clara, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2827&ao=278074&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d78ab36e&cb=1528291469435&jobListingId=2735342977,0.0,06-11-2018,No,,1.0,8.0
Associate - Data Intelligence Analyst,Moody's,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2826&ao=208029&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fee6eb2d&cb=1528291466609&jobListingId=2771455916,0.0,06-11-2018,No,,1.0,8.0
HR Data Analyst,ICONMA,"Mountain View, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2822&ao=4120&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_baf952d9&cb=1528291456273&jobListingId=2755840233,0.0,06-11-2018,No,,1.0,8.0
Advanced EO Systems Junior Level EO Target Tracking and Data Analyst - Secret,Raytheon,"El Segundo, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2820&ao=133207&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_befdc15e&cb=1528291450455&jobListingId=2782647577,0.0,06-11-2018,No,,1.0,8.0
Data Analyst - Freelance,24 Seven Talent,"Northridge, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2819&ao=133131&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a9260da5&cb=1528291447413&jobListingId=2792107824,0.0,06-11-2018,No,,1.0,8.0
Marketing Operations Data Analyst,,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2818&ao=225321&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a834a499&cb=1528291445337&jobListingId=2564063655,0.0,06-11-2018,No,,1.0,8.0
Data Analyst- Private Wealth Management/Investment Management,The Norman Group,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2817&ao=119796&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_aff5c002&cb=1528291442487&jobListingId=2800975186,0.0,06-11-2018,No,,1.0,8.0
Data Marketing Analyst,,"Mountain View, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2814&ao=283198&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0dbba8e8&cb=1528291435401&jobListingId=2794038068,0.0,06-11-2018,No,,1.0,8.0
Data Analyst-HEDIS & Star,SCAN Health Plan,"Long Beach, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=3021&ao=4121&s=58&guid=00000163d546d0ee89d607ae1e9dfdb6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9224e7ea&cb=1528291646068&jobListingId=2738184911,0.0,06-11-2018,No,,1.0,8.0
"Data Analyst, Recruitment Services",Apple,"Santa Clara, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=3028&ao=135079&s=58&guid=00000163d546d0ee89d607ae1e9dfdb6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_099505bd&cb=1528291663060&jobListingId=2729826532,0.0,06-11-2018,No,,1.0,8.0
Financial Systems & Data Analyst,SLAC National Accelerator Laboratory,"Menlo Park, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=3029&ao=283198&s=58&guid=00000163d546d0ee89d607ae1e9dfdb6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d982e087&cb=1528291667552&jobListingId=2775778558,0.0,06-11-2018,No,,1.0,8.0
"Python Developer, Data Science",Q2eBanking,"Austin, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=282811&s=58&guid=00000163d5187b05b7733b40bb92b389&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_fcd3fd87&cb=1528288582699&jobListingId=2786733095,0.0,06-11-2018,No,,1.0,8.0
Principal Engineer of Data Science,Amgen,"Thousand Oaks, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=413&ao=316937&s=58&guid=00000163d51ea64eaf91290da6efac55&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9cc5a31e&cb=1528289000954&jobListingId=2760474577,0.0,06-11-2018,No,,1.0,8.0
