company,location,position,time
University of California Berkeley,"Berkeley, CA",Postdoctoral Scholar - Data Science Program - School of Information,8
NBC Universal,"Beverly Hills, CA",Data Scientist,4
AdRoll Group,"San Francisco, CA","Staff Data Science Engineer, Incrementality",21
Rally Health,"San Francisco, CA",Director of Data Science,21
Change Healthcare,"Emeryville, CA",DATA ENGINEER,20
Zone24x7 Inc,"Milpitas, CA",Tech Lead Data Science,28
LendUp,"San Francisco, CA",Data Scientist,
McAfee,"Santa Clara, CA",Innovation Data Science Engineer,20
Workday,"Pleasanton, CA",Sr. Software Development Engineer,
,"San Francisco, CA","Director, Data Science and Analytics",26
Ascent,"Emeryville, CA",Clinical Science Data Reviewer,23
Elti Solutions,"San Francisco, CA",Data Scientist,
Thermo Fisher Scientific,"South San Francisco, CA","Director, Market Development, Clinical Genomics and Oncology",
BCG Digital Ventures,"Irvine, CA",Director of Technology & Analytics for a Stealth Venture,26
Kensho,"Los Angeles, CA",Data Scientist,
Amgen,"Thousand Oaks, CA",Principal Data Scientist,
Conviva,"Foster City, CA",Solutions Analyst,
L.A. Care Health Plan,"Los Angeles, CA",Data Science User Experience Specialist,9
Juvo,"San Francisco, CA",Data Scientist,
Slice Technologies,"San Mateo, CA",Data Scientist / Machine Learning Engineer - Classification Science,
SunAmerica Affordable Housing Partners,"Woodland Hills, CA",Data Scientist,
Tapjoy,"San Francisco, CA",Senior Software Engineer - Data Science,17
Mojio,"Palo Alto, CA",Data Scientist,
Streetline,"San Mateo, CA",Data Scientist,5
"LegalZoom.com, Inc.","Glendale, CA",Data Scientist,
Credit Karma,"San Francisco, CA","Engineering Manager, Data Services",26
Pocket Gems,"San Francisco, CA",Data Scientist,
thredUP,"San Francisco, CA",Machine Learning Engineer - Supply Growth,7
RPX Corp,"San Francisco, CA","Senior Developer: Python, Machine Learning, Data Science",10
Twitter,"San Francisco, CA","Software Engineer (Applied Data Science) - Revenue Science, Ads Marketplace",17
Uber,"San Francisco, CA","Data Science Engineering Manager, Self-Driving",9
AdRoll Group,"San Francisco, CA","Senior Data Science Engineer, Optimization",20
IBM,"San Francisco, CA",Data Science & Machine Learning Offering Manager Intern (undergrad),5
Snowflake Computing,"San Mateo, CA",Data Scientist,5
Syneos Health Commercial Solutions,"Los Angeles, CA","San Francisco, CA - Neuroscience Medical Science Liaison",13
Lacework,"Mountain View, CA",Security Research Lead,8
ThoughtWorks,"San Francisco, CA",Lead Data Engineer,22
Viasat,"San Diego, CA",Data Scientist,4
Syneos Health Commercial Solutions,"San Jose, CA","San Jose, CA- Pharmaceutical Sales Representative",21
Smith Hanley Associates,"Los Angeles, CA","Manager, Commercial Data Science/Analytics-PHARMA",23
GRAIL,"Menlo Park, CA",Senior Staff Biostatistician,
Angaza,"San Francisco, CA",Data Scientist,8
Syneos Health Commercial Solutions,"San Francisco, CA","Community Medical Science Liaison - Portland, OR",15
GRAIL,"Menlo Park, CA",Senior Research Associate,
Google,"Mountain View, CA","Data Scientist/Quantitative Analyst Intern, Summer",
"Bourntec Solutions, Inc.","Milpitas, CA",Data Scientist,5
Technical Connections,"Culver City, CA",Data Scientist,7
Tala,"Santa Monica, CA",Data Scientist,
GRAIL,"Menlo Park, CA",Associate Scientist,
CallFire Inc.,"Pasadena, CA",Data Scientist,
Cisco Systems,"San Jose, CA",Digital Data Manager,6
iHerb.com,"Irvine, CA",Data Scientist,
Walmart eCommerce,"San Bruno, CA",Associate Product Manager,26
GRAIL,"Menlo Park, CA",Program/ Project Manager,6
AstraZeneca,"South San Francisco, CA",Data Scientist,
Plaid Technologies,"San Francisco, CA",Data Scientist,8
Google,"Sunnyvale, CA","Head of Data Science, Google Cloud Revenue Acceleration",26
GRAIL,"Menlo Park, CA","Senior Director/ Vice President, Quality",6
Kaiser Permanente,"Oakland, CA",Senior Data Analyst-Marketing,21
Airbnb,"San Francisco, CA","Data Science Manager, Trips Platform",30
PDDN INC,"San Jose, CA",Data Scientist,27
GRAIL,"Menlo Park, CA",Software Platform Product Manager,
Asana,"San Francisco, CA",Data Scientist,12
LiveMindz,"Milpitas, CA",Data Scientist,4
FuelX,"San Francisco, CA",Data Scientist,7
Clarivate Analytics,"San Francisco, CA","Manager, Data Science",20
Bayer,"West Sacramento, CA","Statistics Scientist , Vegetable Seeds",8
Syneos Health Commercial Solutions,"San Francisco, CA",Engagement Manager,21
Capital Games,"Redwood City, CA",Data Scientist,7
Allstate,"Menlo Park, CA",Data Science Manager--Claims Casualty,13
Castlight Health,"San Francisco, CA",Data Engineering Intern,4
Twitch,"Irvine, CA",Software Development Manager,
Allstate,"Menlo Park, CA",Data Science Manager--Claims Property,11
Apple,"Santa Clara, CA",Senior Manager: Maps Data Science Team,19
Factual,"Los Angeles, CA","Product Manager, Insights",14
Walmart eCommerce,"San Bruno, CA",Senior Consumer Product Development Manager,21
Amgen,"Thousand Oaks, CA",Senior Associate Data Scientist,
Near(Singapore),"San Francisco, CA",Data Scientist,6
Nexient,"San Francisco, CA",Data Engineer,
General Assembly,"San Francisco, CA",Part Time Data Science Instructor,27
Eaze Solutions,"San Francisco, CA",Data Scientist,6
Intuit,"San Diego, CA",Staff Data Scientist,
Netflix,"Los Gatos, CA","Manager, Talent Acquisition - Machine Learning & Data Science",6
NetPace,"San Jose, CA",Data Scientist,
Snapfish,"San Francisco, CA",BI (Business Intelligence) Developer,
TaosMountain,"San Francisco, CA",Data Scientist,
Dtex Systems,"San Jose, CA",Data Science Engineer,14
Aston Carter,"Sacramento, CA",Data Analyst,25
UCLA Extension,"Los Angeles, CA",Data Science Instructor,27
Amobee,"Redwood City, CA","Scientist, Applied Science",12
Netflix,"Los Gatos, CA","Senior Data Scientist, Original Content Promotion",12
GRAIL,"Menlo Park, CA",Software Engineer,
"SIS-Systems Integration Solutions, Inc.","Sunnyvale, CA",Big Data & Data Science Platform Engineer,12
"TEKREQS, Inc.","San Francisco, CA",Senior R Programmer - Data Science Platform,
Cameron Craig Group,"San Diego, CA",Senior Data Scientist,
Ultimate Software,"San Francisco, CA","DEVOPS MANAGER, WEB / APPLICATION",28
Trulia,"San Francisco, CA","Senior Technical Product Manager, Data Science",15
6sense,"San Francisco, CA",Data Scientist,7
Euclid Analytics,"San Francisco, CA",Product Manager - Data Science & Machine Learning,17
Target,"Sunnyvale, CA",Lead Data Scientist - Haskell,
Amgen,"Thousand Oaks, CA",Senior Data Scientist,
Ultimate Software,"San Francisco, CA","SENIOR DEVOPS ENGINEER, WEB/APPLICATION",28
"Airbnb, Inc.","San Francisco, CA","Data Science Manager - Analytics, China",30
Virta Health,"San Francisco, CA","Software Engineer, Data",
Lawrence Livermore National Laboratory,"Livermore, CA",Data Scientist,9
Pinterest,"San Francisco, CA",Data Scientist,
Walmart eCommerce,"San Bruno, CA",Product Manager,
Nesco Resource,"Carlsbad, CA",Data Management Specialist - Life Sciences,26
Apple,"Santa Clara, CA","Sr. Machine Learning Engineer, Apple Retail Data Sciences",13
Zillow,"San Francisco, CA","Senior Technical Product Manager, Data Science",15
ESRI,"Redlands, CA",Data Scientist,7
Groupon,"San Francisco, CA",Data Scientist,6
Qualys,"Foster City, CA",Data Analyst,
Tenor,"San Francisco, CA",Data Scientist,9
Genesis10,"Playa Vista, CA",Data Analyst,
Twitter,"San Francisco, CA",Software Engineer (Applied Data Science) - MoPub,27
Illumina,"San Diego, CA",Bioinformatics Scientist 1 – Algorithm and Data Science,5
Facebook,"Menlo Park, CA","Analyst, Insights & Operations, Recruiting",
Chase,"Palo Alto, CA","Commercial Banking –Data Science, Analytics & Insights",14
CASTLE GLOBAL,"San Francisco, CA",Data Scientist,6
ZEFR,"Marina del Rey, CA",Data Scientist,
SVS Group,"Burlingame, CA",Data Scientist,9
Verticalmove,"Palo Alto, CA",Head of Data Science - Data Science/AI/Machine Learning,27
Illumina,"San Diego, CA",Bioinformatics Scientist 1 Algorithm and Data Science,29
Tenable,"San Francisco, CA",Technical Product Manager - Data Science with Tenable,19
Verticalmove,"Alameda, CA",Senior Data Scientist/Machine Learning - Data Science/AI/Machine Learning,8
The Chan Zuckerberg Initiative,"Palo Alto, CA",Data Scientist - Science,20
Syneos Health Commercial Solutions,"Los Angeles, CA",Oncology Medical Science Liaison,
ESRI,"Redlands, CA",Python API Developer - Applied Data Science,20
AgilOne,"San Francisco, CA",Data Scientist,6
Narvar,"San Francisco, CA",Data Scientist,
Brillio,"Santa Clara, CA",Data Scientist,6
Syneos Health Commercial Solutions,"San Jose, CA",Per Diem Home Injection Nurse Educator - San Jose Fresno,
Facebook,"Menlo Park, CA","Data Scientist, Marketing Science R&D",21
Teradata,"Santa Clara, CA",Platform Solution Architect - Artificial Intelligence & Data Science,
Massdrop,"San Francisco, CA",Data Scientist,8
SpringML,"Pleasanton, CA",Analytics Consultant,16
HG Data,"Santa Barbara, CA",Data Scientist,11
First American,"Santa Ana, CA",Data Scientist,5
Uber,"San Francisco, CA",Group Product Manager - Global Intelligence,
Exabeam,"San Mateo, CA",Data Scientist,18
Uber,"San Francisco, CA",Product Manager - Uber Eats- Marketplace Prediction,7
Egnyte,"Mountain View, CA",Sr. Software Engineer - Data,
ZipRecruiter,"Santa Monica, CA",Data Scientist,6
Tata Consultancy Services,"San Jose, CA",Supply Chain And Data Science Consultant,30
GRAIL,"Menlo Park, CA",Software Engineer Internship,
Oracle,"San Jose, CA",Data Science & Machine Learning Lead - Cloud Access Security Broker Team,8
Classy,"San Diego, CA",Data Engineer,
GDIT,"San Diego, CA",Data Scientist,
Uber,"San Francisco, CA",Product Marketing Manager - Uber - Financial Products,4
Global Placement Firm,"San Francisco, CA",Head of Data Sciences,17
Facebook,"Menlo Park, CA","Postdoctoral Researcher, Core Data Science (PhD University Grad)",19
Uber,"San Francisco, CA",Product Marketing Manager Lead - Driver Engagement,
California Southern University,"Costa Mesa, CA",Data Analyst: Research and Assessment,
Gwynnie Bee,"Mountain View, CA",Data Scientist,7
P&L Strategies,"Culver City, CA","Software Engineers: Big Data, Hadoop, Data Science",8
TrueCar,"Santa Monica, CA",Data Analyst,
CyberCube Analytics,"San Francisco, CA",Data Scientist,26
Lawrence Berkeley Lab,"Berkeley, CA",Postdoctoral Scholar - Data Science & Technology Department (Computational Research),9
Amobee,"Redwood City, CA","Research Engineer, Applied Science Infrastructure",
Rakuten,"San Mateo, CA",Data Scientist,5
Intel,"Folsom, CA",Data Analyst,6
Virta Health,"San Francisco, CA",Data Scientist,26
IFTTT,"San Francisco, CA",Data Scientist,9
Medtronic Inc.,"Northridge, CA","Engineering Manager, Data Science & Algorithm Development (DSP)",14
GRAIL,"Menlo Park, CA",Molecular Pathology Director,
Advanced Software Talent,"South San Francisco, CA",Data Scientist,9
Razorfish,"San Francisco, CA","Director, Data Science and Analytics - Entertainment and Media Industry Opportunity",25
"Williams-Sonoma, Inc.","San Francisco, CA",Data Scientist,5
Experis,"San Francisco, CA",BI Analyst,
Intuit,"San Francisco, CA",Principal Data Scientist,
"University of California, San Diego","La Jolla, CA",Temporary Lecturer - Data Science Program 2018,20
Amazon,"Irvine, CA",AI Solutions Architect,7
Oracle,"Redwood City, CA",Data Scientist,8
PwC,"San Jose, CA","Consulting Manager - Analytics & Data Science, TMT",
Samba TV,"San Francisco, CA",Data Scientist,8
Siluria Technologies,"San Francisco, CA",Data Scientist,27
Criteo,"Palo Alto, CA","Product Data Analyst, Sponsored Products",19
People.ai,"San Francisco, CA",Head of Data Science - AI/ML Focused Enterprise SaaS,19
Robert Half Technology,"Los Angeles, CA",Data Scientist,6
Huawei Technologies,"Santa Clara, CA",Data Scientist,4
Opendoor,"San Francisco, CA",Data Scientist,10
Children's Hospital Los Angeles,"Los Angeles, CA",Data Scientist,
Collective Health,"San Francisco, CA",Data Scientist,12
LeanTaaS,"Santa Clara, CA",Data Scientist,29
HONK,"Los Angeles, CA",Data Science - Marketplace Optimization & Forecast,28
mckesson,"San Francisco, CA",Data Scientist,4
Helix OpCo,"San Carlos, CA",Data Scientist,19
Strava,"San Francisco, CA",Data Scientist,20
Earnest,"San Francisco, CA",Product Engineer - Home Squad,
Aruba Networks,"Santa Clara, CA",Data Scientist,12
GRAIL,"Menlo Park, CA",Machine Learning Engineer,
Linc Global,"Sunnyvale, CA",Data Scientist,14
AIG,"Woodland Hills, CA",Data Scientist,5
Western Digital Corporation,"Irvine, CA",Data Scientist,
Sonder,"San Francisco, CA",Business Development Manager (Head of Real Estate),
Rose International,"San Jose, CA",Data Analyst,
NCSOFT,"Aliso Viejo, CA",Data Analyst,
Visa Inc.,"Foster City, CA",Come Join a Growing Analytics and Data Science Team!,19
The Aerospace Corporation,"El Segundo, CA",Data Scientist,13
Treasure Data,"Mountain View, CA",Senior Rails API Engineer,
ViaSat,"San Diego, CA",Intern - Data Scientist,5
Shift Technologies,"San Francisco, CA",Data Analyst,
Health Services Advisory Group,"Los Angeles, CA","Analyst I, Data Science in Los Angeles, CA at HSAG",14
Icon Media Direct,"Sherman Oaks, CA",Data Scientist,6
REDHORSE CORPORATION,"San Diego, CA",Data Science/Environmental Intern (Temporary),12
Flexport,"San Francisco, CA",Head of Data,
Syapse,"San Francisco, CA","Senior Software Engineer, Analytics Platform",
McAfee,"Santa Clara, CA",Data Analyst Intern,
Verticalmove,"Mill Valley, CA",Senior Data Scientist - Data Science/AI/Machine Learning,26
Society of Actuaries,United States,Senior P&C Insurance Data Science Manager,19
Verticalmove,"Mill Valley, CA",Lead Data Analyst - Data Science/AI/Machine Learning,26
LendUp,"San Francisco, CA",Data Analyst,
Facebook,"Menlo Park, CA","Software Engineering Manager, Spatial Computing",21
Zendrive,"San Francisco, CA",Data Scientist,26
ZEDVentures Incorporated,"San Jose, CA",Data Scientist,16
Rauxa,"Orange, CA",Data Scientist,13
Vitamin T,"Los Angeles, CA","Data Scientist, Marketing Analytics (Attribution)",12
Vectra Networks,"San Jose, CA",Data Scientist,21
Google,"South San Francisco, CA","Clinical Data Manager, Verily Life Sciences",28
Wpromote,"El Segundo, CA",Data Scientist,21
Syneos Health Commercial Solutions,"Los Angeles, CA","Los Angeles North, CA-Specialty Sales Representative",18
Vitamin T,"Los Angeles, CA",Data Scientist - Marketing Analytics,12
Adara Media,"Palo Alto, CA",Sr. Data Analyst,20
OluKai-Kaenon-melin-Roark,"Irvine, CA",Data Science Expert,15
Technosoft Corporation,"San Jose, CA",Data Scientist,19
"Farmer's Business Network, Inc.","San Carlos, CA",Data Scientist,20
Hewlett Packard Enterprise,"Santa Clara, CA",Data Scientist,9
Formation,"San Francisco, CA",Business Operations Lead,
TrueCar,"Santa Monica, CA",Data Analyst - Tableau,
Skyrocket Ventures,"San Francisco, CA",Sr. Machine Learning Engineer / Head of Data Science (A.I. Startup),30
REVOLVE,"Cerritos, CA",Data Scientist,7
Facebook,"Menlo Park, CA","Data Scientist, Infrastructure",9
SurveyMonkey,"San Mateo, CA",Data Scientist,21
FIS,"San Francisco, CA",Systems Administrator Specialist,
Tripping,"San Francisco, CA",Data Scientist,21
"CLARA analytics, Inc.","Santa Clara, CA",Data Scientist,13
Electronic Arts,"Redwood City, CA",Data Scientist,15
Vim,"San Francisco, CA",Data Analyst,
Jam City,"Culver City, CA",Technical Artist,5
"University of California, San Diego","La Jolla, CA",Lecturer with Potential Security of Employment (LPSOE) - Data Science Program,21
Pixel Labs,"San Francisco, CA",Data Science Lead,30
Pluto7,"San Jose, CA",Data Scientist,25
Argus Information & Advisory Services,"San Francisco, CA",Modeling Associate,13
Retail Solutions,"Mountain View, CA",Data Scientist,14
Connexity,"Los Angeles, CA",Sr. Software Engineer- Big Data,
Roku,"Los Gatos, CA",Account Manager - Marketing,16
Slalom LLC.,"Los Angeles, CA",Data Engineer,
Jam City,"Culver City, CA",Associate Creative Producer,
Hired,"San Francisco, CA",Machine Learning Engineer,
Fair,"Santa Monica, CA",Data Scientist,
tronc,"Los Angeles, CA",Sr. Data Scientist,19
Jam City,"San Francisco, CA",Studio Design Director,
SBM Offshore,"Monaco, CA",DATA SCIENTIST TRAINEE,20
"AppZen, Inc.","San Jose, CA",Product Support Representative,
Yummly,"Redwood City, CA",Data Scientist,19
Formation,"San Francisco, CA",Director of Product Marketing,
Aquilent,"Oxnard, CA",Data Scientist,12
WhereTo,"San Francisco, CA",Data Scientist,
Noodle.ai,"Palo Alto, CA",Principal Data Scientist,
Grand Rounds,"San Francisco, CA",Data Scientist,15
Change Healthcare,"Emeryville, CA",Data Scientist,
Glint,"Redwood City, CA",Senior People Science Consultant,
Indeed,"San Francisco, CA",Data Scientist,26
Jam City,"Culver City, CA",Executive Producer,
tronc,"Los Angeles, CA",Contract Marketing Data Analyst,
LHP Engineering Solutions,"Torrance, CA",Data Scientist,9
Kaplan Test Prep,"San Francisco, CA",Part-time instructor of Statistics for Data Science and Machine Learning,23
Glint,"Redwood City, CA",Principal People Science Consultant,
Kohl's,"Milpitas, CA",Data Scientist Engineer,20
"First Tek, Inc.","San Francisco, CA",Sr. Manager/Associate Director Data Science and Analytics,30
Saama Technologies Inc,"Campbell, CA",New College Graduate,6
Atlassian,"Mountain View, CA",Data Analyst,
Presto,"Redwood City, CA",Data Scientist,6
Marketing Evolution,"Rancho Cordova, CA","Data Integration Specialist, IBP Configuration",9
Tapjoy,"San Francisco, CA",Data Scientist,24
"AppZen, Inc.","San Jose, CA",Alliances Director,
Fanatics,"San Mateo, CA","Senior Product Manager, Inventory Data Science and Engineering",
Payette Group,"Palo Alto, CA",Data Scientist,30
Verizon,"Irvine, CA",Data Scientist,10
Ticketmaster,"Hollywood, CA","Intern, Engineering",
MoTek Technologies,"Mountain View, CA",Data Scientist,14
UC Davis Medical Center,"Sacramento, CA",Data Analyst,
Branch,"San Francisco, CA",Performance Marketing Associate,
GRAIL,"Menlo Park, CA","Associate Director, Communications",22
VideoAmp,"Los Angeles, CA","Scala Data Engineer, Digital Delivery",
ThirdLove,"San Francisco, CA",Data Scientist,28
TrueCar,"Santa Monica, CA",Senior Data Analyst,
Tala,"Santa Monica, CA",Data Platform Engineer,
Teespring,"San Francisco, CA",Data Scientist,11
Progress,"Redwood City, CA",Senior Product Marketing Manager,
SAP,"Los Angeles, CA",Data Scientist,22
21st Century Fox,"Los Angeles, CA","Director, Data Science - Entertainment and Media Industry Opportunity",30
Bold Metrics,"San Jose, CA",Data Scientist,
Credit Sesame,"San Francisco, CA",Digital Analyst,
Humanyze,"Palo Alto, CA",Data Analyst,
"YapStone, Inc.","Walnut Creek, CA",Data Scientist,12
Windfall Data,"San Francisco, CA",Data Scientist,22
GRAIL,"Menlo Park, CA",Epidemiologist,
Facebook,"Menlo Park, CA",Lead Data Scientist,
Vungle,"San Francisco, CA",Senior Data Scientist,
Enterprise Solution inc,"Santa Clara, CA",Data Scientist,22
Discord,"San Francisco, CA",Data Analyst,
"EDO, Inc.","San Francisco, CA",Data Scientist,15
LeadStack,"San Francisco, CA",Data Analyst,
Qualys,"Foster City, CA",Senior Data Scientist,27
"Quora, Inc.","Mountain View, CA",User Researcher,5
Thermo Fisher Scientific,"Carlsbad, CA",Data Scientist,25
Uber,"San Francisco, CA",Sr Product Manager - Customer Obsession - ContactLESS,8
Stitch Fix,"San Francisco, CA",Data Scientist,23
Facebook,"Menlo Park, CA","Data Scientist, Analytics - Sharing/Ecosystems",
C H Reynolds Electric,"San Francisco, CA",Data Analyst,
Facebook,"Menlo Park, CA","Data Scientist, Analytics - Video Ecosystem",
Hired,"San Francisco, CA",Staff Machine Learning Engineer,
EVERFI,"Walnut Creek, CA",Product Designer,
Allstate,"Menlo Park, CA",Junior Data Scientist,
Mastech Digital,"Los Angeles, CA",Data Analyst,7
Sojern,"San Francisco, CA","Data Analyst, Experimentation",
Facebook,"Menlo Park, CA","Data Scientist, Customer Insights",12
GRAIL,"Menlo Park, CA",Senior Medical Director,15
NVIDIA,"Santa Clara, CA",Solution Architect - Embedded,
Facebook,"Menlo Park, CA",Network Data Scientist,14
"Dialpad, Inc.","San Francisco, CA",Data Engineer,20
GRAIL,"Menlo Park, CA",Staff Clinical Scientist,27
Cisco Systems,"San Jose, CA","Data Scientist, Advanced Analytics and Optimization",
TrueCar,"Santa Monica, CA","Director, SEO",
Udacity,"Mountain View, CA",Senior Data Scientist,
Facebook,"Menlo Park, CA","Data Scientist, Insights and Growth",14
Walmart eCommerce,"Sunnyvale, CA","Engineering Leader, Data Science/Machine Learning",21
Jam City,"San Francisco, CA",UI/UX Designer,
INgrooves Music Group,"Los Angeles, CA",Data Scientist,14
Lawrence Berkeley Lab,"Berkeley, CA",Data Scientist,23
GRAIL,"Menlo Park, CA","Director, People Operations & Technology",21
Kernel Talent Agency,United States,Data Scientist,
Facebook,"Menlo Park, CA","Policy Research Director, Global",
Google Inc.,"San Bruno, CA","(USA-CA-San Bruno) Product Analyst, Data Science",30
Edmunds.com,"Santa Monica, CA",Data Scientist,23
Kaplan,"San Francisco, CA",Part-time instructor of Statistics for Data Science and Machine Learning,22
Lyft,"San Francisco, CA",Data Scientist,
GRAIL,"Menlo Park, CA",Technical Writer,
TrueAccord,"San Francisco, CA",Quality Control/Business Analyst,
Instacart,"San Francisco, CA","Senior Software Engineer, Data Science Platform",8
GRAIL,"Menlo Park, CA",Quality Engineer,
Instacart,"San Francisco, CA","Senior Software Engineer, Data Science Platform",8
AbbVie,"Redwood City, CA","Senior Manager/Principal Statistician, Clinical Statistics",
Genesis infotech inc,"San Francisco, CA",Data Scientist,30
Twitch,"San Francisco, CA",UI/UX Designer,
Komodo Health,"San Francisco, CA",Data Warehouse Engineer,
Figure Eight,"San Francisco, CA",Associate Solutions Consultant - Professional Services,
Vectra Networks,"San Jose, CA",Application Team Lead,0
Syneos Health,"Santa Cruz, CA","Santa Cruz, CA-Pharmaceutical Sales Representative",20
GRAIL,"Menlo Park, CA",Automation Engineer,
Lumiata,"San Mateo, CA",Data Scientist,26
"Quora, Inc.","Mountain View, CA",Engineering Manager - Data Infrastructure,
Stride Search,United States,Data Scientist,16
Sun Basket,"San Francisco, CA",Data Engineer,
LeapYear,"Berkeley, CA",Data Scientist,13
Survata,"San Francisco, CA",Data Scientist,17
GRAIL,"Menlo Park, CA",Senior Document Control Specialist,0
Ascent Services Group,"South San Francisco, CA",Data Scientist,22
Automation Anywhere,"San Jose, CA",Data Scientist,12
Rally Health,"San Francisco, CA",Data Scientist,
Palnar INC,"Los Angeles, CA",Data Scientist,15
Link Consulting,"Newport Beach, CA",Data Scientist,30
Russell Tobin & Associates,"San Francisco, CA",Data Analyst,8
Yelp,"San Francisco, CA",Data Scientist,19
NoRedInk,"San Francisco, CA",Data Analyst,
"Advanced Decision Vectors, LLC","Sacramento, CA",Data Analyst,
Rabbit,"Redwood City, CA",Data Analyst,
Plato,"San Francisco, CA",Data Analyst Intern,
Stripe,"San Francisco, CA","Product Manager, Invoicing Platforms",
Grand Rounds,"San Francisco, CA",Software Engineer - Data Engineering,1
Stripe,"San Francisco, CA","Engineering Manager, Developer Productivity",0
Target,"Sunnyvale, CA",Lead Data Scientist,5
Twitter,"San Francisco, CA",Engineering Manager - Ads Marketplace,
University of Southern California,"Marina del Rey, CA",Research Programmer I,
LendUp,"San Francisco, CA",Senior Data Scientist,
eero,"San Francisco, CA",Data Scientist,14
Slice Technologies,"San Mateo, CA",Data Scientist / Machine Learning Engineer - Information Extraction,
Lab126,"Boston Ravine, CA","Principal Solutions Architect, Database & Analytics",
Paysafe,"Irvine, CA",Data Analyst,4
Curvature,"Santa Barbara, CA",Data Analyst,0
BOLD,"San Francisco, CA",Sr. Data Scientist,18
Samsung Research America,"Mountain View, CA",Data Scientist - Health,
Quantifind,"Menlo Park, CA","Director of Product, Financial Crimes",0
Oracle,"San Jose, CA",Data Science & Machine Learning Lead or Director - Cloud Access Security Broker Team,8
Doximity,"San Francisco, CA",Data Analyst,5
Course Hero,"Redwood City, CA","Director of Engineering, Search Intelligence",
Infobahn Softworld,"San Jose, CA",Data Scientists,7
CallFire,"Santa Monica, CA",Senior DevOps Engineer,
Everlane,"San Francisco, CA",Data Analyst,5
Stockpile,"Palo Alto, CA",Data Scientist,28
Facebook,"Menlo Park, CA","Data Scientist, SMB",
Keysight Technologies,"Santa Rosa, CA",Data Analyst Internship,
University of Southern California,"Los Angeles, CA",Project Assistant,0
CyberSearch,"Pasadena, CA",Data Analyst,7
ThreatMetrix,"San Jose, CA",Data Scientist,28
Adobe,"San Francisco, CA","Value Engineer, Senior Digital Strategist",1
Stanford School of Medicine,"Stanford, CA",Administrative Associate 2,0
Wish,"San Francisco, CA",Data Scientist,15
Target,"Sunnyvale, CA",Lead Data Engineer - A/B Testing/Measurement Platform,5
Aera Technology,"Mountain View, CA",Solution Architect,1
Granular,"San Francisco, CA","Senior Software Engineer, Backend",
Dollar Shave Club,"Marina del Rey, CA",Senior Data Scientist,
TrueCar,"Santa Monica, CA",Senior Research Data Analyst,
Disney,"Burbank, CA","Data Analyst Internship- Burbank, Fall",4
Flexport,"San Francisco, CA",Analytics Manager,
Figure Eight,"San Francisco, CA",Senior DevOps Engineer,
Fundbox,"San Francisco, CA",Revenue Accountant,
Transdev,"South San Francisco, CA",Data Scientist,13
OrangePeople,"Menlo Park, CA",Security Data Analyst II,
University of California,"Berkeley, CA",Research Data Analyst 2 (6256U,
OrangePeople,"Menlo Park, CA",Security Data Analyst I,
Roche,"Santa Clara, CA","Manager, Signal Processing, Sequencing",0
Parsable,"San Francisco, CA",Data Architect/ Data Scientist,
Cylance Inc.,"Irvine, CA",Senior Product Manager,5
"PARC, a Xerox company","Palo Alto, CA",Data Scientist,15
CareMessage,"San Francisco, CA",Data Scientist,14
"Turnitin, LLC","Oakland, CA",Director of Machine Learning,0
Plum Lending,"San Francisco, CA",Sales Development Rep,0
Twitter,"San Francisco, CA","Data Scientist, Metrics&Experimentation",
Cloudera,"Palo Alto, CA",Director Sales Analytics & Research,0
AIDS Healthcare Foundation,"Los Angeles, CA",Information Technology Intern- Junior Data Analyst (Programmer),
Facebook,"Menlo Park, CA","Data Scientist, Analytics - Monetization: Ads Quality and Delivery",15
HP Inc.,"Palo Alto, CA",Lead Data Scientist,8
Lam Research,"Fremont, CA",Engineering Intern 3,0
ServiceNow,"Santa Clara, CA",Senior Data Scientist,0
Apple Inc.,"Cupertino, CA",Data Scientist Machine Learning - Maps Evaluation,6
Twilio,"San Francisco, CA",AI/Machine Learning Senior Engineer (Java & Python),0
Southern California Edison,"Rosemead, CA",Senior Data Scientist - Clean Energy,7
Qventus,"Mountain View, CA",Customer Success Data Wrangler,
Figure Eight,"San Francisco, CA","Director, Professional Services",7
Bayside Solutions,"South San Francisco, CA",Data Scientist,23
Mojio,"Palo Alto, CA",Data Analyst,
SigFig,"San Francisco, CA",Recruiting Coordinator,
Jam City,"Culver City, CA",Platform Engineer,0
Measurabl,"San Diego, CA",Software Engineer - Data,7
iHerb.com,"Irvine, CA",Software Developer-Search,
Apple,"Santa Clara, CA",Analytics Support Engineer and Evangelist,
Formation,"San Francisco, CA",Copywriter,
Target,"Sunnyvale, CA",Sr Data Engineer,
Becton Dickinson and Company,"San Diego, CA",Data Scientist,23
Infometry,"Fremont, CA",Data Scientist,17
Adobe,"San Jose, CA",Research Scientist,
Matchpoint Solutions,"San Francisco, CA",Data Engineer,0
Quizlet,"San Francisco, CA",Senior Data Engineer,
Davis Innovators,"Redwood City, CA",Data Scientist,27
Capital Markets Placement,"San Jose, CA","Consulting Manager - Analytics & Data Science, TMT",19
Turn/River Capital,"San Francisco, CA",Data Scientist,15
McAfee,"Santa Clara, CA",Data Scientist,20
realtor.com,"Santa Clara, CA","Principal Software engineer, Backend/Platform",
realtor.com,"Santa Clara, CA",Staff / Sr. Staff Software Engineer - Platform,
Pulse Secure,"San Jose, CA",Sr. Data Analyst,
