company,location,position,time
BCG Digital Ventures,"Irvine, CA",Senior Data Scientist for a Stealth Venture,26
BlueVine,"Redwood City, CA",Senior Business Analyst,12
Walmart eCommerce,"San Bruno, CA",Data Scientist Intern - Summer,
PayJoy,"San Francisco, CA",Head of Risk & Data Science,8
Sojern,"San Francisco, CA",Senior Data Science Engineer,
ASML,"San Jose, CA",Data Scientist,
Stitch Fix,"San Francisco, CA",Manager of Data Science,0
Get Insured,"Mountain View, CA",Sr. Software Engineer,20
Johnson & Johnson,"Irvine, CA","Senior Data Scientist, Data Sciences and Advanced Analytics R&D Technology",13
Dollar Shave Club,"Marina del Rey, CA","Director of Engineering, Data Science & Engineering",
Agilent Technologies,"Santa Clara, CA",Digital Data Scientist,27
Indeed,"San Francisco, CA",Data Science Manager,
eBay,"San Francisco, CA",Sr. Data Science Manager,0
"Software Technology, Inc","San Diego, CA",Data Scientist,
Walmart eCommerce,"San Bruno, CA","Senior Manager, Advanced Analytics",
Auto Club of Southern California,"Costa Mesa, CA",Data Science Lead,28
Bayer,"Berkeley, CA",Senior Data Science Analyst,
Samsung Research America,"Mountain View, CA",Machine Learning Platform Engineer - Samsung Pay Data Science Team,
The Clorox Company,"Oakland, CA",Global Insights Data Analyst Data Science Internship,
Opendoor,"San Francisco, CA",Data Scientist (Predictive Services),6
Credit Karma,"San Francisco, CA","Sr. Manager / Director, Partner Decision Science",9
Engage3,"Davis, CA",Data Scientist,30
GoGuardian,"El Segundo, CA",Data Scientist,
JPMorgan Chase & Co,"Palo Alto, CA","Data Science, Analytics & Insights",6
ZS Associates,"Los Angeles, CA",Data Science Consultant,21
TIBCO,"San Francisco, CA",Data Science Application Architect,5
Evanston Group,"San Francisco, CA","Sr. IT Business Analyst, Biopharma, R&D (2751)",15
Intuit,"San Francisco, CA",Group Manager Data Science and Analytics,13
Thumbtack,"San Francisco, CA",Data Scientist,
"Slingshot Aerospace, Inc","El Segundo, CA",Data Science Intern,8
Pinterest,"San Francisco, CA",Pinterest Labs Researcher,
"Quora, Inc.","Mountain View, CA",Data Science Manager,
Udacity,"San Francisco, CA",Data Science Manager,7
Amgen,"Thousand Oaks, CA",Director Data Science Acceleration,5
ID Analytics,"San Diego, CA",Data Science Intern — Summer,
Zynga,"San Francisco, CA","Data Scientist 4, Central Strategic Analytics",8
ThirdLove,"San Francisco, CA",Data Science Engineer,5
Stripe,"San Francisco, CA",Data Science Engineer,5
Central Garden & Pet Company,"Walnut Creek, CA",Digital Analytics Analyst,11
Adobe,"San Jose, CA",Director Data Science Lab,8
ASML,"San Diego, CA",Sr Product Engineer - Data Science,12
Zynga,"San Francisco, CA","Data Scientist 3, Poker",14
ShareThis,"Palo Alto, CA",Principal Software Engineer - Data Science,7
HotelTonight,"San Francisco, CA",Data Scientist,13
Banjo,"Redwood City, CA",Data Science Engineer,
Salesforce,"San Francisco, CA",Data Science & Engineering Leaders,6
Thermo Fisher Scientific,"Carlsbad, CA",Marketing Database Developer,
Entytle,"Palo Alto, CA",Data Analyst,
Facebook,"Menlo Park, CA","Data Science Manager, Analytics (Ads)",8
Sojern,"San Francisco, CA",Data Science Engineer,
Domino Data Lab,"San Francisco, CA",Senior Site Reliability Engineer,16
Thermo Fisher Scientific,"Carlsbad, CA",Digital Marketing Offer Management & Content Strategist,
Blizzard Entertainment,"Irvine, CA",Data Scientist - Machine Learning Engineer,
Activision,"Santa Monica, CA",Lead Data Scientist,22
Zoom,"San Jose, CA","Business Analyst, Data Science",6
Intuit,"Mountain View, CA","Director of Data Science, Fraud & Risk",
Quizlet,"San Francisco, CA","Manager, Data Science & Engineering",22
Affirm,"San Francisco, CA",Data Scientist,
Tubular Labs,"Mountain View, CA",Data Scientist,
Sojern,"San Francisco, CA",Director of Data Science,13
HotelTonight,"San Francisco, CA",Senior Data Scientist,7
Dassault Systemes,"San Diego, CA","Product Manager, Data Science",13
Uber,"San Francisco, CA",Manager - Developer Platform Data Science,
Domino Data Lab,"San Francisco, CA",Senior Software Engineer in Test,7
Aera Technology,"Mountain View, CA",Solutions Architect,8
SurveyMonkey,"San Mateo, CA","Director, Data Science",
Harrison Clarke International,"San Francisco, CA",Lead DevOps Engineer,
